name,serving_size,calories,total_fat,saturated_fat,cholesterol_mg,carbohydrate,fiber,sugars,keywords
"Cream, cultured, sour",100,198,19,10,59,4.63,0.0,3.41,"['Cream', 'Cultured', 'Sour']"
"Gravy, canned, au jus",100,16,0.2,0.1,0,2.50,0.0,0,"['Gravy', 'Canned', 'Au Jus']"
"McDONALD'S, Hamburger",100,264,10,3.5,27,30.28,1.3,6.03,"[""Mcdonald'S"", 'Hamburger']"
"Cheese, port de salut",100,352,28,17,123,0.57,0.0,0.57,"['Cheese', 'Port De Salut']"
SILK Original Creamer,100,100,6.7,0,0,6.67,0.0,0.00,['Silk Original Creamer']
SILK Hazelnut Creamer,100,133,6.7,0,0,20.00,0.0,20.00,['Silk Hazelnut Creamer']
"Soup, mix, dry, onion",100,293,0.3,0.1,0,65.07,6.6,4.65,"['Soup', 'Mix', 'Dry', 'Onion']"
"Mushrooms, raw, enoki",100,37,0.3,0,0,7.81,2.7,0.22,"['Mushrooms', 'Raw', 'Enoki']"
Bacon and beef sticks,100,517,44,16,102,0.80,0.0,0.80,['Bacon And Beef Sticks']
"Salami, pork, Italian",100,425,37,13,80,1.20,0.0,1.20,"['Salami', 'Pork', 'Italian']"
"Crackers, whole-wheat",100,427,14,2.1,0,69.55,10.3,1.19,"['Crackers', 'Whole-Wheat']"
"Peanuts, raw, spanish",100,570,50,7.1,0,15.83,9.5,0,"['Peanuts', 'Raw', 'Spanish']"
"Hominy, white, canned",100,72,0.9,0.1,0,14.26,2.5,1.82,"['Hominy', 'White', 'Canned']"
"Game meat, raw, moose",100,102,0.7,0.2,59,0.00,0.0,0,"['Game Meat', 'Raw', 'Moose']"
"Pears, red anjou, raw",100,62,0.1,0,0,14.94,3.0,9.54,"['Pears', 'Red Anjou', 'Raw']"
"Horseradish, prepared",100,48,0.7,0.1,0,11.29,3.3,7.99,"['Horseradish', 'Prepared']"
"Fish, raw, butterfish",100,146,8,3.4,65,0.00,0.0,0,"['Fish', 'Raw', 'Butterfish']"
"Lebanon bologna, beef",100,172,10,2.8,55,0.44,0.0,0.00,"['Lebanon Bologna', 'Beef']"
Ham and cheese spread,100,245,19,8.6,61,2.28,0.0,0,['Ham And Cheese Spread']
"TACO BELL, Taco Salad",100,170,9.2,3,19,15.10,3.0,0,"['Taco Bell', 'Taco Salad']"
"Sauce, worcestershire",100,78,0,0,0,19.46,0.0,10.03,"['Sauce', 'Worcestershire']"
"Candies, marshmallows",100,318,0.2,0.1,0,81.30,0.1,57.56,"['Candies', 'Marshmallows']"
"Hummus, home prepared",100,177,8.6,1.1,0,20.12,4.0,0.27,"['Hummus', 'Home Prepared']"
Horned melon (Kiwano),100,44,1.3,0,0,7.56,0,0,['Horned Melon (Kiwano)']
Ice cream sundae cone,100,254,14,2.7,15,28.89,1.0,21.26,['Ice Cream Sundae Cone']
"Peppers, raw, serrano",100,32,0.4,0.1,0,6.70,3.7,3.83,"['Peppers', 'Raw', 'Serrano']"
"Cabbage, cooked, napa",100,12,0.2,0,0,2.23,0,0,"['Cabbage', 'Cooked', 'Napa']"
"Peppers, dried, ancho",100,281,8.2,0.8,0,51.42,21.6,0,"['Peppers', 'Dried', 'Ancho']"
"Parsley, freeze-dried",100,271,5.2,0,0,42.38,32.7,0,"['Parsley', 'Freeze-Dried']"
"Spices, black, pepper",100,251,3.3,1.4,0,63.95,25.3,0.64,"['Spices', 'Black', 'Pepper']"
"Spices, white, pepper",100,296,2.1,0.6,0,68.61,26.2,0,"['Spices', 'White', 'Pepper']"
"Yambean (jicama), raw",100,38,0.1,0,0,8.82,4.9,1.80,"['Yambean (Jicama)', 'Raw']"
"Nuts, dried, pilinuts",100,719,80,31,0,3.98,0,0,"['Nuts', 'Dried', 'Pilinuts']"
"Kiwifruit, raw, green",100,61,0.5,0,0,14.66,3.0,8.99,"['Kiwifruit', 'Raw', 'Green']"
"Drumstick leaves, raw",100,64,1.4,0,0,8.28,2.0,0,"['Drumstick Leaves', 'Raw']"
"Yautia (tannier), raw",100,98,0.4,0.1,0,23.63,1.5,0,"['Yautia (Tannier)', 'Raw']"
"Candies, butterscotch",100,391,3.3,2.1,9,90.40,0.0,80.46,"['Candies', 'Butterscotch']"
"Cucumber, raw, peeled",100,12,0.2,0,0,2.16,0.7,1.38,"['Cucumber', 'Raw', 'Peeled']"
"Dandelion greens, raw",100,45,0.7,0.2,0,9.20,3.5,0.71,"['Dandelion Greens', 'Raw']"
"Melons, raw, honeydew",100,36,0.1,0,0,9.09,0.8,8.12,"['Melons', 'Raw', 'Honeydew']"
Potato salad with egg,100,157,9.4,1.4,17,16.18,1.3,4.95,['Potato Salad With Egg']
"Mushrooms, raw, white",100,22,0.3,0.1,0,3.26,1.0,1.98,"['Mushrooms', 'Raw', 'White']"
"Mushrooms, raw, morel",100,31,0.6,0.1,0,5.10,2.8,0.60,"['Mushrooms', 'Raw', 'Morel']"
"Cheese, Mexican blend",100,358,29,17,95,1.75,0.0,1.23,"['Cheese', 'Mexican Blend']"
"Oranges, Florida, raw",100,46,0.2,0,0,11.54,2.4,9.14,"['Oranges', 'Florida', 'Raw']"
"SILK Vanilla, soymilk",100,41,1.4,0.2,0,4.12,0.4,2.88,"['Silk Vanilla', 'Soymilk']"
"Papaya nectar, canned",100,57,0.2,0,0,14.51,0.6,13.91,"['Papaya Nectar', 'Canned']"
"Fiddlehead ferns, raw",100,34,0.4,0,0,5.54,0,0,"['Fiddlehead Ferns', 'Raw']"
SILK Peach soy yogurt,100,94,1.2,0,0,18.82,0.6,14.71,['Silk Peach Soy Yogurt']
SILK Plain soy yogurt,100,66,1.8,0.2,0,9.69,0.4,5.29,['Silk Plain Soy Yogurt']
"PACE, Enchilada Sauce",100,40,0,0,0,8.33,1.7,6.67,"['Pace', 'Enchilada Sauce']"
Yeast extract spread,100,185,0.9,0,0,20.42,6.5,1.60,['Yeast Extract Spread']
"Tomatoes, raw, green",100,23,0.2,0,0,5.10,1.1,4.00,"['Tomatoes', 'Raw', 'Green']"
"Mollusks, raw, snail",100,90,1.4,0.4,50,2.00,0.0,0.00,"['Mollusks', 'Raw', 'Snail']"
"Emu, raw, fan fillet",100,103,0.8,0.2,71,0.00,0.0,0.00,"['Emu', 'Raw', 'Fan Fillet']"
"Pasta, enriched, dry",100,371,1.5,0.3,0,74.67,3.2,2.67,"['Pasta', 'Enriched', 'Dry']"
"Cookies, gingersnaps",100,416,9.8,2.5,0,76.90,2.2,19.92,"['Cookies', 'Gingersnaps']"
"Sour cream, fat free",100,74,0,0,9,15.60,0.0,0.39,"['Sour Cream', 'Fat Free']"
"MURRAY, Honey Graham",100,445,13,3.2,0,75.70,2.7,22.00,"['Murray', 'Honey Graham']"
"Frankfurter, chicken",100,223,16,3.9,96,2.74,0.0,2.98,"['Frankfurter', 'Chicken']"
"Ham, canned, chopped",100,239,19,6.3,49,0.26,0.0,0.00,"['Ham', 'Canned', 'Chopped']"
"Spices, dried, thyme",100,276,7.4,2.7,0,63.94,37.0,1.71,"['Spices', 'Dried', 'Thyme']"
"Carrot juice, canned",100,40,0.2,0,0,9.28,0.8,3.91,"['Carrot Juice', 'Canned']"
"Corn, dried (Navajo)",100,386,5.2,0.8,0,74.93,0,5.38,"['Corn', 'Dried (Navajo)']"
"Pate, truffle flavor",100,327,29,10,105,6.30,0,0,"['Pate', 'Truffle Flavor']"
"Fruit butters, apple",100,173,0.3,0.1,0,42.47,1.5,35.30,"['Fruit Butters', 'Apple']"
"Fast foods, coleslaw",100,153,9.9,1.6,4,14.89,1.9,12.19,"['Fast Foods', 'Coleslaw']"
"Salami, beef, cooked",100,261,22,9.9,71,1.90,0.0,1.50,"['Salami', 'Beef', 'Cooked']"
"Spices, chili powder",100,282,14,2.5,0,49.70,34.8,7.19,"['Spices', 'Chili Powder']"
"Spices, caraway seed",100,333,15,0.6,0,49.90,38.0,0.64,"['Spices', 'Caraway Seed']"
"Spices, dried, basil",100,233,4.1,2.2,0,47.75,37.7,1.71,"['Spices', 'Dried', 'Basil']"
"Pickle relish, sweet",100,130,0.5,0.1,0,35.06,1.1,29.13,"['Pickle Relish', 'Sweet']"
"Chives, freeze-dried",100,311,3.5,0.6,0,64.29,26.2,0,"['Chives', 'Freeze-Dried']"
"Fish, raw, sablefish",100,195,15,3.2,49,0.00,0.0,0,"['Fish', 'Raw', 'Sablefish']"
"Crackers, multigrain",100,482,20,3.3,0,67.60,3.5,12.00,"['Crackers', 'Multigrain']"
"Spices, ground, mace",100,475,32,9.5,0,50.50,20.2,0,"['Spices', 'Ground', 'Mace']"
"Spices, onion powder",100,341,1,0.2,0,79.12,15.2,6.63,"['Spices', 'Onion Powder']"
"Butter, without salt",100,717,81,50,215,0.06,0.0,0.06,"['Butter', 'Without Salt']"
"Rice noodles, cooked",100,108,0.2,0,0,24.01,1.0,0.03,"['Rice Noodles', 'Cooked']"
Barley flour or meal,100,345,1.6,0.3,0,74.52,10.1,0.80,['Barley Flour Or Meal']
"Sesbania flower, raw",100,27,0,0,0,6.73,0,0,"['Sesbania Flower', 'Raw']"
"Garlic bread, frozen",100,350,17,5.3,0,41.72,2.5,3.69,"['Garlic Bread', 'Frozen']"
"KFC, Popcorn Chicken",100,351,22,4,40,21.18,1.0,0.00,"['Kfc', 'Popcorn Chicken']"
"APPLEBEE'S, coleslaw",100,120,7.1,1.1,2,13.17,2.8,9.33,"[""Applebee'S"", 'Coleslaw']"
"Rolls, sweet, dinner",100,321,7.4,3.5,55,53.58,3.1,15.38,"['Rolls', 'Sweet', 'Dinner']"
"Cherries, raw, sweet",100,63,0.2,0,0,16.01,2.1,12.82,"['Cherries', 'Raw', 'Sweet']"
"Ostrich, raw, ground",100,165,8.7,2.2,71,0.00,0.0,0.00,"['Ostrich', 'Raw', 'Ground']"
